Weeks,01,02,03,04,05,06,07,08,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
St Peter Poor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,2,1,2,6,6,6,7,2,6,0,1,2,0,0,1,0,0,0
St Peters Pauls wharf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,7,9,12,11,10,11,4,3,1,2,4,0,0,0,0,1
St Sepulcres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,18,48,81,100,141,160,205,241,227,336,264,206,214,138,95,84,40,19,11,16,13,9,3,2,0,2
St Stephen Coleman st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,7,10,10,11,29,38,31,40,51,38,41,28,10,12,9,13,8,4,1,2,0
St Stephen Walbroke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,2,1,0,2,1,1,1,0,0,0,0,0
St Swithin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,1,2,2,2,2,2,9,6,5,4,4,0,0,1,2,2,0,0,1,1
St Thomas Apostle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,2,8,6,7,10,7,8,17,5,4,10,4,2,3,4,3,1,0,0,0,0
St Thomas Apostle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,6,2,8,4,21,22,33,44,52,36,36,32,23,10,5,8,9,8,0,0,2,0
St Vedast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,8,11,13,12,7,9,9,6,6,5,2,1,0,3,2,1,0,0,2
Stepney Parish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,33,58,76,136,197,273,442,666,685,686,579,631,593,366,246,165,253,19,103,75,43,38,44
Trinity Minories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,5,4,19,10,10,18,21,15,12,2,2,4,3,0,0,2,0,0
Trinity Parish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,11,13,9,9,12,2,1,5,3,1,2,0,0,0,0
